game_id,name,platform_id,year,genre_id,publisher_id,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
153,Tekken 2,16,1996,3,465,2.26,1.89,1.36,0.23,5.74
154,Cooking Mama,5,2006,10,7,3.13,1.94,0.07,0.58,5.72
155,Destiny,19,2014,9,17,2.49,2.05,0.16,0.96,5.65
156,Tetris,12,1988,6,369,2.97,0.69,1.81,0.11,5.58
157,Assassin's Creed II,18,2009,1,533,2.54,1.95,0.21,0.87,5.57
158,Super Smash Bros.,11,1999,3,369,2.95,0.6,1.97,0.04,5.55
159,Assassin's Creed,29,2007,2,533,3.28,1.65,0.07,0.55,5.55
160,Batman: Arkham City,18,2011,1,560,2.7,1.91,0.11,0.8,5.53
161,Forza Motorsport 3,29,2009,7,328,2.99,1.92,0.1,0.51,5.51
162,Monster Hunter Freedom Unite,20,2008,8,82,0.47,0.57,4.13,0.34,5.5
163,Super Mario Advance,7,2001,5,369,3.14,1.24,0.91,0.2,5.49
164,Mario Kart: Super Circuit,7,2001,7,369,2.62,1.64,0.99,0.23,5.47
165,Super Mario World,7,2001,5,369,3.21,1.11,0.95,0.2,5.46
166,Pokemon Stadium,11,1999,12,369,3.18,1.24,0.94,0.09,5.45
167,Call of Duty: World at War,18,2008,9,17,2.72,1.87,0,0.84,5.43
168,Crash Bandicoot: The Wrath of Cortex,17,2001,5,540,2.07,2.29,0.24,0.82,5.42
169,Minecraft,18,2014,4,465,1.97,2.51,0,0.94,5.42
170,Final Fantasy XIII,18,2009,8,475,1.74,1.24,1.87,0.52,5.36
171,Dr. Mario,6,1989,6,369,2.18,0.96,2,0.2,5.34
172,Pokemon Pinball,6,1999,4,369,3.02,1.12,1.01,0.16,5.31
173,Assassin's Creed III,29,2012,1,533,3.13,1.71,0.03,0.44,5.3
174,Final Fantasy IX,16,2000,8,476,1.62,0.77,2.78,0.14,5.3
175,Final Fantasy X-2,17,2003,8,139,1.92,1.08,2.11,0.17,5.29
176,Donkey Kong 64,11,1999,5,369,3.33,0.79,1.09,0.06,5.27
177,Assassin's Creed II,29,2009,1,533,3.1,1.56,0.08,0.51,5.27
178,Professor Layton and the Curious Village,5,2007,6,369,1.22,2.48,1.03,0.52,5.26
179,Tomb Raider II,16,1997,1,138,2.3,2.46,0.2,0.28,5.24
180,Madden NFL 2004,17,N/A,11,139,4.26,0.26,0.01,0.71,5.23
181,Dragon Quest VIII: Journey of the Cursed King,17,2004,8,475,0.65,0.75,3.61,0.2,5.21
182,Diablo III,14,2012,8,17,2.43,2.15,0,0.62,5.2
183,Super Mario Bros. 3,7,2003,5,369,2.93,1.25,0.83,0.2,5.2
184,New Super Mario Bros. U,27,2012,5,369,2.32,1.3,1.27,0.31,5.19
185,Super Mario Land 3: Wario Land,6,1994,5,369,2.49,0.98,1.57,0.15,5.19
186,FIFA Soccer 13,29,2012,1,139,1.08,3.48,0.03,0.58,5.18
187,The Legend of Zelda: Phantom Hourglass,5,2007,1,369,1.9,1.83,0.95,0.49,5.17
188,Donkey Kong Country 2: Diddy's Kong Quest,24,1995,5,369,2.1,0.74,2.2,0.11,5.15
189,Tomodachi Life,3,2013,10,369,0.96,2.02,1.89,0.28,5.15
190,Mario & Sonic at the Olympic Games,5,2008,11,453,1.64,2.48,0.44,0.58,5.14
191,Medal of Honor: Rising Sun,17,2003,9,139,1.98,2.23,0.13,0.8,5.13
192,Kirby's Dream Land,6,1992,5,369,2.71,0.61,1.7,0.11,5.13
193,Fable III,29,2010,8,328,3.59,1.11,0.05,0.38,5.13
194,Call of Duty: Advanced Warfare,31,2014,9,17,3.21,1.53,0.01,0.38,5.13
195,Microsoft Flight Simulator,14,1996,10,328,3.22,1.69,0,0.2,5.12
196,Guitar Hero II,17,2006,4,435,3.81,0.63,0,0.68,5.12
197,Resident Evil 5,18,2009,1,82,1.96,1.43,1.08,0.65,5.11
198,Grand Theft Auto V,31,2014,1,499,2.66,2.01,0,0.41,5.08
199,Grand Theft Auto: Vice City Stories,20,2006,1,499,1.7,2.02,0.16,1.21,5.08
200,FIFA Soccer 11,18,2010,11,139,0.6,3.29,0.06,1.13,5.08
201,Super Mario Bros.,6,1999,5,369,3.4,1.3,0.15,0.22,5.07
202,Resident Evil,16,1996,1,553,2.05,1.16,1.11,0.73,5.05
203,Tony Hawk's Pro Skater,16,1999,11,17,3.42,1.38,0.02,0.2,5.02
204,Super Smash Bros. for Wii U and 3DS,27,2014,3,369,2.59,1.06,0.8,0.57,5.02
205,Warzone 2100,16,1999,12,138,2.79,1.89,0,0.33,5.01
206,Spyro the Dragon,16,1998,5,465,3.36,1.36,0.07,0.21,5
207,Link's Crossbow Training,26,2007,9,369,3.06,1.18,0.29,0.46,5
208,Guitar Hero III: Legends of Rock,17,2007,4,17,3.49,0.01,0.01,1.48,4.98
209,Fallout 3,29,2008,8,65,3.39,1.03,0.09,0.44,4.96
210,Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,5,2007,8,369,1.85,1.2,1.54,0.37,4.96
211,Uncharted: Drake's Fortune,18,2007,1,465,2.31,1.73,0.12,0.78,4.94
212,Madden NFL 06,17,2005,11,139,3.98,0.26,0.01,0.66,4.91
213,LEGO Star Wars: The Complete Saga,5,2007,1,296,2.89,1.54,0,0.46,4.9
214,Diddy Kong Racing,11,1997,7,369,2.91,0.99,0.89,0.1,4.88
215,Monster Hunter Freedom 3,20,2010,8,82,0,0,4.87,0,4.87
216,Dr. Mario,12,1990,6,369,2.62,0.6,1.52,0.1,4.85
217,God of War III,18,2010,1,465,2.74,1.36,0.12,0.63,4.84
218,StarCraft II: Wings of Liberty,14,2010,12,17,2.56,1.68,0,0.59,4.83
219,Assassin's Creed,18,2007,2,533,1.91,2,0.09,0.83,4.83
220,FIFA 15,18,2014,11,139,0.57,3.14,0.04,1.07,4.82
221,Crash Team Racing,16,1999,7,465,2.57,1.57,0.44,0.21,4.79
222,FIFA 17,19,2016,11,139,0.28,3.75,0.06,0.69,4.77
223,Batman: Arkham City,29,2011,1,560,2.99,1.31,0.04,0.41,4.76
224,Driver 2,16,2000,1,54,2.36,2.1,0.02,0.25,4.73
225,The Simpsons: Hit & Run,17,2003,7,556,1.73,2.19,0,0.79,4.7
226,Tony Hawk's Pro Skater 2,16,2000,11,17,3.05,1.41,0.02,0.2,4.68
227,Animal Crossing: City Folk,26,2008,10,369,1.87,1.12,1.32,0.37,4.68
228,The Lord of the Rings: The Two Towers,17,2002,1,139,1.94,1.95,0.08,0.7,4.67
229,Forza Motorsport 4,29,2011,7,328,2.08,2.04,0.06,0.47,4.64
230,Tomb Raider,16,1996,1,138,2.29,1.97,0.13,0.24,4.63
231,Guitar Hero III: Legends of Rock,26,2007,4,17,3.06,1.12,0,0.44,4.62
232,The Legend of Zelda: A Link to the Past,24,1991,1,369,2.42,0.91,1.15,0.13,4.61
233,The Legend of Zelda: The Wind Waker,8,2002,1,369,2.6,0.99,0.89,0.13,4.6
234,Mario & Sonic at the Olympic Winter Games,26,2009,11,453,1.89,1.99,0.22,0.48,4.58
235,Luigi's Mansion: Dark Moon,3,2013,1,369,1.78,1.39,1.1,0.3,4.58
236,Splatoon,27,2015,9,369,1.55,1.15,1.44,0.43,4.57
237,The Last of Us,19,2014,1,465,1.78,1.87,0.07,0.82,4.55
238,Guitar Hero III: Legends of Rock,29,2007,4,17,3.19,0.92,0.01,0.42,4.53
239,Madden NFL 2005,17,2004,11,139,4.18,0.26,0.01,0.08,4.53
240,Pitfall!,1,1981,5,17,4.21,0.24,0,0.05,4.5
241,Madden NFL 07,17,2006,11,139,3.63,0.24,0.01,0.61,4.49
242,Spider-Man: The Movie,17,2002,1,17,2.71,1.51,0.03,0.23,4.48
243,Dragon Quest VII: Warriors of Eden,16,2000,8,145,0.2,0.14,4.1,0.02,4.47
244,Uncharted: The Nathan Drake Collection,19,2015,1,465,1.96,1.69,0.08,0.74,4.47
245,Call of Duty: Advanced Warfare,18,2014,9,17,1.54,1.94,0.19,0.77,4.45
246,God of War,17,2005,1,465,2.71,1.29,0.02,0.43,4.45
247,Nintendo Land,27,2012,4,369,2.55,1.11,0.46,0.33,4.44
248,Michael Jackson: The Experience,26,2010,4,533,2.67,1.35,0.01,0.39,4.42
249,Tony Hawk's Pro Skater 3,17,2001,11,17,2.66,1.29,0.01,0.46,4.41
250,Winning Eleven: Pro Evolution Soccer 2007,17,2006,11,282,0.1,2.39,1.05,0.86,4.39
251,The Elder Scrolls IV: Oblivion,29,2006,8,499,2.82,1.05,0.13,0.4,4.39
252,Zelda II: The Adventure of Link,12,1987,2,369,2.19,0.5,1.61,0.08,4.38
253,Need for Speed: Most Wanted,17,2005,7,139,2.03,1.79,0.08,0.47,4.37
254,Resistance: Fall of Man,18,2006,9,465,1.73,1.73,0.14,0.75,4.35
255,Sonic the Hedgehog,9,1991,5,453,3.03,0.91,0.26,0.13,4.34
256,Kingdom Hearts II,17,2005,8,475,2.2,0.58,1.38,0.17,4.33
